+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[7]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[6]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[4]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[1]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[12]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[11]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[10]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[20]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[23]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[22]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[21]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[9]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[8]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[11]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[10]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[18]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[19]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[17]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                             design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[16]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[6]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[4]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[1]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_sof_cnt_reg[7]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_sof_cnt_reg[2]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_sof_cnt_reg[1]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[7]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[0]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_sof_cnt_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[3]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_sof_cnt_reg[2]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[9]/R|
